Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-06-30,2325.38,2413.5,2152.99,2327.67,1395386258
2019-09-30,2338.98,2363.21,2044.86,2173.29,1501757846
2019-12-31,2175.98,2279.64,2034.48,2150.09,1336404229
2020-03-31,2161.55,2200.57,1248.77,1512.84,2058959815
2020-06-30,1495.43,1856.66,1464.86,1758.82,2643486769
2020-09-30,1760.72,1884.22,1657.57,1712.73,1674654904
2020-12-31,1719.55,2033.03,1496.76,1983.98,2017987089
2021-03-31,1994.28,2100.33,1868.06,1938.84,1826776302
2021-06-30,1942.53,2293.02,1937.14,2218.41,1618183603
2021-09-30,2223.84,2416.38,2196.01,2310.29,1151700069
2021-12-31,2299.01,2478.55,2118.81,2266.92,1616375165
2022-03-31,2272.18,2429.03,1781.02,2133.05,2157958653
2022-06-30,2143.61,2181.17,1652.3,1695.97,1470611694.3019
2022-09-30,1690.71,1763.25,1366.25,1377.91,1540649248
2022-12-31,1379.8,1803.6,1337.71,1792.01,1503597675
2023-03-31,1794.52,1955.44,1626.01,1758.56,1192242608
2023-06-30,1764.92,2131.03,1749,2060.38,1016011541
2023-09-30,2056.7,2202.3,1873.38,1915.6,985757225
2023-12-31,1917.3,2380.55,1843.38,2342.99,1362260788
2024-03-31,2344.1,2494.74,2161.56,2436.05,1169907694
2024-06-30,2440.7,2600.53,2383.85,2561.27,1381031773.8284
2024-09-30,2574.03,2578.15,2193.1,2412.16,641911238
